Fiscal Year,State Name,County,Congressional District,Program Area,Program,Zip Code,Persistent Poverty Community Status,Borrower Name,Project Name,Investment Type,City,Lender Name,Funding Code,NAICS Industry Sector,County FIPS,NAICS National Industry Code,NAICS National Industry,Portfolio Type,Project Announced Description,Investment Dollars,Number of Investments,State Abbr,Award Type,Has Description
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Coastal Horizons Center, Inc.",NC0736-A,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help establish a high-definition telehealth program to provide Opioid Medication Assisted Treatment. In addition, the investment will help provide acute, routine and preventive health care services in rural North Carolina. The project will create services for four (4) project sites in three (3) counties: Brunswick, Pender and New Hanover. The project will provide computers, monitors and telemedicine carts and software so that patients do not have to travel great distances to see specialists and mental health counselors. Coastal Horizons Center provides mental health, substance misuse, and primary care services in Southeastern North Carolina. Coastal Horizons Center projects this grant can help serve at least 200 new participants.",77491,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Daymark Recovery Services, Inc",NC0734-A,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help Daymark Recovery Services provide video conferencing solutions to the provision of mental health and substance abuse services, including opioid abuse services. The use of telepsychiatry to treat underserved counties will have the benefits of reducing cost and travel time for patients, reducing the impact on local jails and emergency rooms by treating patients before they end up at those facilities, and reducing the number of patients who get re-admitted to the hospital. This project serves seven North Carolina sites enabling access to psychological and substance abuse care in these communities, benefiting 36,792 projected patients.",390316,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Edgecombe County Schools,NC0738-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will assist Edgecombe County Public Schools with implementing distance learning labs through the purchase and installation of video-conferencing equipment. This project implements mobile distance learning carts at four (4) high schools providing access to Science, Technology, Engineering, an Mathematics education for students in North Carolinas rural Edgecombe County. The project connects students to colleges and universities providing science and mathematics courses and allows educators to continue education and professional development. The project will increase the number of graduating career and college ready students and retain highly qualified teachers within an area of more than 20,000 North Carolina residents.",160048,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,"Metropolitan Community Health Services,",NC0735-A,Grant Funds,,Not Applicable,DLT OPIOID GRANTS,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will help provide opioid treatment services via telemedicine at six end-user sites in rural eastern North Carolina. Equipment will include mobile carts with video conferencing units to provide opioid treatment services, including: counseling of opioid misuse; training of medical professionals, counselors and first responders who interact with opioid users; and education programs addressing opioid misuse. This project will save vulnerable, low-income rural residents travel time and money and will increase the number of patients who achieve and sustain recovery from opioid misuse disorders. It also will decrease unnecessary emergency room visits and hospitalizations related to opioid misuse and will help save lives. Each year, more than 2,400 rural residents will be served by the project.",375996,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Montgomery County Schools,NC0728-C,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"Rural Development funds will be used to help provide telehealth and video conferencing equipment to two high schools, three middle schools, six elementary schools and the district head office located in Troy, NC to connect with Montgomery County School Districts two existing School-Based Health Care Centers. Through the use of telehealth and videoconferencing equipment the project will insure that students have full and complete access to health and dental care, provided by fully trained and qualified health care professionals.",296801,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,South Piedmont Community College,NC0737-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help South Piedmont Community College (SPCC) develop distance learning to bring vital Science, Technology, Education, and Mathematics (STEM) resources to the students of Anson County, North Carolina. The project will involve the purchase of a display, camera, microphones, audio equipment, and various other necessary ITV technology items for each site. Obsolete distance learning equipment at the teaching sites will be upgraded and learning classrooms in Anson County will be created. The project will expand STEM academic program offerings, provide more course options previously not feasible due to low enrollment, improve course success rate for students as compared to online learning, and benefit students by decreasing their transportation financial burden to attend courses at Union County campuses. The project will provide needed STEM courses to approximately 650 Anson County SPCC students and Anson High School students enrolled in college courses.",349045,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Stanly County Schools,NC0739-A,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help Stanly County Schools build a robust distance learning program to enhance educational opportunities at 19 school and two hub sites within Stanly County. State-of-the-art interactive distance learning technology will be used to provide Science, Technology, Engineering and Math (STEM) curricula and STEM-focused professional development courses benefiting 8,338 students and faculty.",441767,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,East Carolina University,NC0719-E,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the East Carolina Universities College of Engineering and Technology purchase video conferencing kits for 11 sites in three eastern North Carolina counties. This project will build the Industrial Internet of Things (IIoT) skill base, offering IIoT certifications to community college students, providing hands-on laboratory and dynamic academic experiences, fostering IIoT-focused collaboration and extending IIoT-related workforce and advising resources. This program will expand workforce development and develop a Science, Technology, Engineering, and Mathematics education network designed to prepare a rural, underserved workforce to fill the IIoT skills gap benefiting over 3,700 students and faculty.",327950,1,NC,DL + TM,Yes
2018,North Carolina,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Persistent Poverty Community,Washington County Board of Education,NC0732-B,Grant Funds,,Not Applicable,DISTANCE LEARNING- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to help the Washington County Board of Education purchase video conferencing equipment to provide interactive distance learning services. This project connects three districts and nine participating schools with one another, allowing them to share resources, classes, and professional development through the use of distance learning. It will serve a population of 6,482. The project will improve issues related to faculty retention, student access to educational services for college-bound and career-bound students, and access to special education resources by providing a more robust Science, Technology, Engineering, and Mathematics curriculum.",181969,1,NC,DL + TM,Yes
2018,North Dakota,Not Available,Multiple/Unknown Districts,Telecommunications Programs,Distance Learning and Telemedicine (TELE),,Not Persistent Poverty Community,Heartview Foundation,ND0720-A,Grant Funds,,Not Applicable,TELEMEDICINE- GRANT,Utilities,Not Available,,Not Available,Commercial,"This Rural Development investment will be used to purchase and install telemedicine equipment at eight rural locations in Burleigh, Towner, Mercer and Dunn Counties. Heartview and its rural partners will implement a telemedicine system to deliver behavioral programs in rural North Dakota to address opioid misuse and other substance misuse issues. These programs will deliver counseling, education and training to patients and staff while reducing travel time and expense to remote locations serving a total population of 81,067 people.",104955,1,ND,DL + TM,Yes
